image_path,hueColorPrincipal,saturationColorPrincipal,brightnessColorPrincipal,num_colors,avg_hue_diff,avg_saturation,avg_pure_saturation,avg_lightness,avg_pure_lightness,Jerarquia
paso1_procesamientoImagenes/imagesVibrant\Vibrante_036.jpg,,,,6,22.3589011,33.0290242,,33.09803922,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_037.jpg,,,,6,108.9569892,50.03878608,,38.31372549,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_038.jpg,,,,5,18.22330481,36.93828017,,24.46078431,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_039.jpg,,,,6,101.4804598,28.09197299,,28.78431373,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_040.jpg,,,,4,183.2373424,64.62585034,,26.0130719,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_041.jpg,,,,6,228.4172433,29.29086661,,22.94117647,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_042.jpg,,,,6,203.4854411,45.12572213,,28.39215686,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_043.jpg,,,,6,40.58571429,10.86960309,,17.33333333,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_044.jpg,,,,5,66.42931393,11.73929751,,23.18627451,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_045.jpg,,,,5,51.88735305,36.32286996,,12.99019608,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_046.jpg,,,,5,25.79411299,37.00659693,,33.7745098,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_047.jpg,,,,6,68.63023199,12.74940979,,9.725490196,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_048.jpg,,,,6,134.2857143,30.96774194,,31.56862745,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_049.jpg,,,,5,71.93490289,19.57200725,,32.5,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_050.jpg,,,,6,121.273752,25.8864903,,33.96078431,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_001.jpg,84.61538462,63.93442623,11.96078431,6,73.35253227,23.51413293,,30.70588235,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_002.jpg,21.42857143,20,86.2745098,6,23.93273393,30.4475186,,29.29411765,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_003.jpg,22.28571429,18.91891892,36.2745098,4,22.34767025,53.84879685,,17.84313725,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_004.jpg,35.87628866,100,19.01960784,6,160.0595255,43.22749404,,,10.88235294,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_005.jpg,27.85714286,54.90196078,80,6,102.0812069,8.077952146,,13.29411765,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_006.jpg,190.5882353,58.62068966,5.68627451,3,103.3018868,24.60646542,,,30.8496732,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_007.jpg,7.5,12.5,37.64705882,6,102.8425974,57.52157956,,59.41176471,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_008.jpg,249.4736842,11.51515152,32.35294118,6,137.8013986,11.08909634,,13.25490196,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_009.jpg,24,33.33333333,17.64705882,5,156.3194337,51.43593683,,10.68627451,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_010.jpg,45.81818182,25.11415525,42.94117647,3,21.13095238,26.53747917,,18.23529412,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_011.jpg,195.2727273,100,10.78431373,6,86.26441049,54.37951121,,38.2745098,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_012.jpg,77.27272727,38.37209302,33.7254902,6,102.8934305,21.83164983,,19.17647059,,Espiral
paso1_procesamientoImagenes/imagesVibrant\Vibrante_013.jpg,186.5546218,73.91304348,31.56862745,6,104.6561444,43.93182796,,25.37254902,,Espiral
